Yangon	Yangon (East)	Tamwe	74662	90651	74662	90651	-	-
Yangon	Yangon (East)	Pazundaung	22131	26324	22131	26324	-	-
Yangon	Yangon (East)	Botahtaung	19416	21579	19416	21579	-	-
Yangon	Yangon (East)	Dagon Myothit (South)	181140	190506	181140	190506	-	-
Yangon	Yangon (East)	Dagon Myothit (North)	96388	107560	96388	107560	-	-
Yangon	Yangon (East)	Dagon Myothit (East)	80861	84767	76015	80229	4846	4538
Yangon	Yangon (East)	Dagon Myothit (Seikkan)	82697	84751	73906	76170	8791	8581
Yangon	Yangon (East)	Mingalartaungnyunt	62530	69964	62530	69964	-	-
Yangon	Yangon (South)	Thanlyin	130537	137526	41110	44955	89427	92571
Yangon	Yangon (South)	Kyauktan	81456	85992	24843	26769	56613	59223
Yangon	Yangon (South)	Thongwa	75492	82384	13194	14824	62298	67560
Yangon	Yangon (South)	Kayan	75510	82509	15436	17541	60074	64968
Yangon	Yangon (South)	Twantay	111251	115585	20752	22340	90499	93245
Yangon	Yangon (South)	Kawhmu	58299	60751	4119	4481	54180	56270
Yangon	Yangon (South)	Kungyangon	54107	57525	7931	8696	46176	48829
Yangon	Yangon (South)	Dala	84671	88186	58358	61008	26313	27178
Yangon	Yangon (South)	Seikgyikanaungto	17068	16935	17068	16935	-	-
Yangon	Yangon (South)	Cocokyun	1294	646	1294	646	-	-
Yangon	Yangon (West)	Kyauktada	13777	16076	13777	16076	-	-
Yangon	Yangon (West)	Pabedan	15171	18165	15171	18165	-	-
Yangon	Yangon (West)	Lanmadaw	20180	26980	20180	26980	-	-
Yangon	Yangon (West)	Latha	10728	14329	10728	14329	-	-
Yangon	Yangon (West)	Ahlone	25551	29931	25551	29931	-	-
Yangon	Yangon (West)	Kyeemyindaing	52627	58887	52627	58887	-	-
Yangon	Yangon (West)	Sanchaung	43993	55626	43993	55626	-	-
Yangon	Yangon (West)	Hlaing	75029	85278	75029	85278	-	-
Yangon	Yangon (West)	Kamaryut	36958	47611	36958	47611	-	-
Yangon	Yangon (West)	Mayangone	93392	104721	93392	104721	-	-
Yangon	Yangon (West)	Dagon	11846	13236	11846	13236	-	-
Yangon	Yangon (West)	Bahan	45518	51214	45518	51214	-	-
Yangon	Yangon (West)	Seikkan	1697	1129	1697	1129	-	-
Shan	Taunggyi	Taunggyi	213200	224856	128382	139588	84818	85268
Shan	Taunggyi	Nyaungshwe	94537	94870	8174	8034	86363	86836
Shan	Taunggyi	Hopong	55535	56813	12106	10734	43429	46079
Shan	Taunggyi	Hsihseng	74736	78296	6029	6044	68707	72252
Shan	Taunggyi	Kalaw	93092	92991	28672	29125	64420	63866
Shan	Taunggyi	Pindaya	38468	40835	5161	5601	33307	35234
Shan	Taunggyi	Ywangan	41049	41483	2220	2297	38829	39186
Shan	Taunggyi	Lawksawk	84326	80404	20346	17439	63980	62965
Shan	Taunggyi	Pinlaung	95358	96899	8956	8534	86402	88365
Shan	Taunggyi	Pekon	52293	51297	8357	8189	43936	43108
Shan	Loilen	Loilen	60559	63998	20032	20543	40527	43455
Shan	Loilen	Laihka	23646	25185	3845	4156	19801	21029
Shan	Loilen	Nansang	59291	57670	16665	16597	42626	41073
Shan	Loilen	Kunhing	26623	26780	7637	7723	18986	19057
Shan	Loilen	Kyethi	35424	38940	4032	4298	31392	34642
Shan	Loilen	Mongkaing	35122	39172	5156	5464	29966	33708
Shan	Loilen	Monghsu	36242	36510	6170	6114	30072	30396
Shan	Langkho	Langkho	20206	20105	4959	4971	15247	15134
Shan	Langkho	Mongnai	19991	19445	10270	9488	9721	9957
Shan	Langkho	Mawkmai	16546	17264	2686	2536	13860	14728
Shan	Langkho	Mongpan	13829	12097	4712	4260	9117	7837
Shan	Lashio	Lashio	158512	164893	84331	90004	74181	74889
Shan	Lashio	Hseni	28604	28058	4449	4703	24155	23355
Shan	Lashio	Mongyai	28391	30985	3594	3452	24797	27533
Shan	Lashio	Tangyan	84023	88782	16305	17298	67718	71484
Shan	Muse	Muse	88402	83407	48369	45759	40033	37648
Shan	Muse	Namhkan	51315	55719	14171	16098	37144	39621
Shan	Muse	Kutkai	87442	87210	19678	19960	67764	67250
